station,valid,lon,lat,tmpf,relh,sped,p01m,vsby
NYC,2019-01-01 00:11,-73.9693,40.7790,48.00,null,null,1.02,4.00
NYC,2019-01-01 00:36,-73.9693,40.7790,46.90,null,null,1.52,2.00
NYC,2019-01-01 00:51,-73.9693,40.7790,46.90,null,null,1.52,3.00
NYC,2019-01-01 01:51,-73.9693,40.7790,50.00,null,null,0.51,8.00
NYC,2019-01-01 02:51,-73.9693,40.7790,52.00,null,null,0.00,4.00
NYC,2019-01-01 03:15,-73.9693,40.7790,50.00,null,null,T,2.00
NYC,2019-01-01 03:30,-73.9693,40.7790,50.00,null,null,T,1.75
NYC,2019-01-01 03:42,-73.9693,40.7790,50.00,null,null,0.25,2.00
NYC,2019-01-01 03:51,-73.9693,40.7790,51.10,null,null,0.25,2.50
NYC,2019-01-01 04:00,-73.9693,40.7790,51.10,null,null,0.00,4.00
NYC,2019-01-01 04:51,-73.9693,40.7790,53.10,null,null,0.00,6.00
NYC,2019-01-01 05:12,-73.9693,40.7790,54.00,null,null,0.00,8.00
NYC,2019-01-01 05:51,-73.9693,40.7790,54.00,null,null,0.00,10.00
NYC,2019-01-01 06:01,-73.9693,40.7790,55.00,null,null,0.00,10.00
NYC,2019-01-01 06:17,-73.9693,40.7790,55.90,null,null,0.00,10.00
NYC,2019-01-01 06:27,-73.9693,40.7790,55.90,null,null,0.00,10.00
NYC,2019-01-01 06:51,-73.9693,40.7790,57.00,null,null,0.00,10.00
NYC,2019-01-01 07:51,-73.9693,40.7790,57.00,null,null,0.00,10.00
NYC,2019-01-01 08:51,-73.9693,40.7790,57.90,null,null,0.00,10.00
NYC,2019-01-01 09:51,-73.9693,40.7790,57.90,null,null,0.00,10.00
NYC,2019-01-01 10:51,-73.9693,40.7790,57.90,null,null,0.00,10.00
NYC,2019-01-01 11:51,-73.9693,40.7790,55.90,null,null,0.00,10.00
NYC,2019-01-01 12:51,-73.9693,40.7790,55.00,null,null,0.00,10.00
NYC,2019-01-01 13:51,-73.9693,40.7790,51.10,null,null,0.00,10.00
NYC,2019-01-01 14:51,-73.9693,40.7790,48.90,null,null,0.00,10.00
NYC,2019-01-01 15:51,-73.9693,40.7790,46.90,null,null,0.00,10.00
NYC,2019-01-01 16:51,-73.9693,40.7790,45.00,null,null,0.00,10.00
NYC,2019-01-01 17:51,-73.9693,40.7790,44.10,null,null,0.00,10.00
NYC,2019-01-01 18:51,-73.9693,40.7790,44.10,null,null,0.00,10.00
NYC,2019-01-01 19:51,-73.9693,40.7790,43.00,null,null,0.00,10.00
NYC,2019-01-01 20:51,-73.9693,40.7790,43.00,null,null,0.00,10.00
NYC,2019-01-01 21:51,-73.9693,40.7790,42.10,null,null,0.00,10.00
NYC,2019-01-01 22:51,-73.9693,40.7790,41.00,null,null,0.00,10.00
NYC,2019-01-01 23:51,-73.9693,40.7790,39.90,null,null,0.00,10.00
NYC,2019-01-02 00:51,-73.9693,40.7790,37.90,null,null,0.00,10.00
NYC,2019-01-02 01:51,-73.9693,40.7790,37.90,null,null,0.00,10.00
NYC,2019-01-02 02:51,-73.9693,40.7790,37.00,null,null,0.00,10.00
NYC,2019-01-02 03:51,-73.9693,40.7790,37.00,null,null,0.00,10.00
NYC,2019-01-02 04:51,-73.9693,40.7790,36.00,null,null,0.00,10.00
NYC,2019-01-02 05:51,-73.9693,40.7790,36.00,null,null,0.00,10.00
NYC,2019-01-02 06:51,-73.9693,40.7790,35.10,null,null,0.00,10.00
NYC,2019-01-02 07:51,-73.9693,40.7790,35.10,null,null,0.00,10.00
NYC,2019-01-02 08:51,-73.9693,40.7790,36.00,null,null,0.00,10.00
NYC,2019-01-02 09:51,-73.9693,40.7790,36.00,null,null,0.00,10.00
NYC,2019-01-02 10:51,-73.9693,40.7790,37.00,null,null,0.00,9.00
NYC,2019-01-02 11:51,-73.9693,40.7790,37.90,null,null,0.00,10.00
NYC,2019-01-02 12:51,-73.9693,40.7790,37.90,null,null,0.00,10.00
NYC,2019-01-02 13:51,-73.9693,40.7790,39.00,null,null,0.00,10.00
NYC,2019-01-02 14:51,-73.9693,40.7790,39.00,null,null,0.00,10.00
NYC,2019-01-02 15:51,-73.9693,40.7790,37.90,null,null,0.00,10.00
NYC,2019-01-02 16:51,-73.9693,40.7790,37.00,null,null,0.00,10.00
NYC,2019-01-02 17:51,-73.9693,40.7790,37.00,null,null,0.00,10.00
NYC,2019-01-02 18:51,-73.9693,40.7790,37.00,null,null,0.00,10.00
NYC,2019-01-02 19:51,-73.9693,40.7790,37.00,null,null,0.00,10.00
NYC,2019-01-02 20:51,-73.9693,40.7790,37.90,null,null,0.00,10.00
NYC,2019-01-02 21:51,-73.9693,40.7790,37.90,null,null,0.00,10.00
NYC,2019-01-02 22:51,-73.9693,40.7790,39.00,null,null,0.00,10.00
NYC,2019-01-02 23:51,-73.9693,40.7790,39.90,null,null,0.00,10.00
NYC,2019-01-03 00:08,-73.9693,40.7790,39.90,null,null,0.00,10.00
NYC,2019-01-03 00:23,-73.9693,40.7790,39.90,null,null,0.00,10.00
NYC,2019-01-03 00:51,-73.9693,40.7790,39.90,null,null,0.00,10.00
NYC,2019-01-03 01:05,-73.9693,40.7790,39.90,null,null,0.00,10.00
NYC,2019-01-03 01:31,-73.9693,40.7790,39.90,null,null,0.00,10.00
NYC,2019-01-03 01:51,-73.9693,40.7790,39.90,null,null,0.00,10.00
NYC,2019-01-03 02:07,-73.9693,40.7790,39.90,null,null,0.00,10.00
NYC,2019-01-03 02:31,-73.9693,40.7790,39.90,null,null,0.00,9.00
NYC,2019-01-03 02:51,-73.9693,40.7790,39.90,null,null,0.00,10.00
NYC,2019-01-03 03:51,-73.9693,40.7790,41.00,null,null,0.00,10.00
NYC,2019-01-03 04:46,-73.9693,40.7790,42.80,null,null,0.00,10.00
NYC,2019-01-03 04:51,-73.9693,40.7790,42.10,null,null,0.00,10.00
NYC,2019-01-03 05:51,-73.9693,40.7790,44.10,null,null,0.00,10.00
NYC,2019-01-03 06:51,-73.9693,40.7790,44.10,null,null,0.00,10.00
NYC,2019-01-03 07:33,-73.9693,40.7790,43.00,null,null,0.00,10.00
NYC,2019-01-03 07:51,-73.9693,40.7790,43.00,null,null,0.00,10.00
